Panel,Method,Mode,Frequency,Average period,Variance share,Correlation,Approximate Entropy
lithium_hydroxide,VMD,1.0000,0.0056,178.5000,0.3273,0.8212,0.0053
lithium_hydroxide,VMD,2.0000,0.0056,178.5000,0.3651,0.8439,0.0220
lithium_hydroxide,VMD,3.0000,0.0126,79.3333,0.0089,0.1657,0.2067
lithium_hydroxide,VMD,4.0000,0.0490,20.4000,0.0008,0.0556,0.4323
lithium_hydroxide,VMD,5.0000,0.1359,7.3608,0.0002,0.0234,0.3845
lithium_hydroxide,VMD,6.0000,0.2535,3.9448,0.0001,0.0148,0.2372
lithium_hydroxide,VMD,7.0000,0.3403,2.9383,0.0000,0.0118,0.3481
lithium_hydroxide,VMD,8.0000,0.3978,2.5141,0.0001,0.0117,0.4197
lithium_hydroxide,VMD,9.0000,0.4468,2.2382,0.0000,0.0104,0.5442
lithium_hydroxide,CEEMDAN,1.0000,0.3375,2.9627,0.0006,-0.0045,0.7875
lithium_hydroxide,CEEMDAN,2.0000,0.2381,4.2000,0.0008,-0.0290,0.5324
lithium_hydroxide,CEEMDAN,3.0000,0.0812,12.3103,0.0015,0.0683,0.3999
lithium_hydroxide,CEEMDAN,4.0000,0.0322,31.0435,0.0068,0.1861,0.2353
lithium_hydroxide,CEEMDAN,5.0000,0.0098,102.0000,0.0542,0.4401,0.0716
lithium_hydroxide,CEEMDAN,6.0000,0.0042,238.0000,0.0617,0.6934,0.0342
lithium_hydroxide,CEEMDAN,7.0000,0.0000,,0.6059,0.9098,0.0071
lithium_carbonate,VMD,1.0000,0.0072,138.0000,0.2786,0.8026,0.0071
lithium_carbonate,VMD,2.0000,0.0058,172.5000,0.3836,0.8602,0.0265
lithium_carbonate,VMD,3.0000,0.0101,98.5714,0.0213,0.2181,0.2060
lithium_carbonate,VMD,4.0000,0.0304,32.8571,0.0040,0.0977,0.3076
lithium_carbonate,VMD,5.0000,0.0580,17.2500,0.0018,0.0619,0.2997
lithium_carbonate,VMD,6.0000,0.3058,3.2701,0.0000,0.0086,0.2383
lithium_carbonate,VMD,7.0000,0.3522,2.8395,0.0000,0.0074,0.3242
lithium_carbonate,VMD,8.0000,0.4029,2.4820,0.0000,0.0068,0.5062
lithium_carbonate,CEEMDAN,1.0000,0.3275,3.0531,0.0002,-0.0179,0.8096
lithium_carbonate,CEEMDAN,2.0000,0.2580,3.8764,0.0011,0.0308,0.2441
lithium_carbonate,CEEMDAN,3.0000,0.0710,14.0816,0.0029,0.2553,0.3550
lithium_carbonate,CEEMDAN,4.0000,0.0217,46.0000,0.0188,0.3989,0.2406
lithium_carbonate,CEEMDAN,5.0000,0.0058,172.5000,0.1555,0.7532,0.0664
lithium_carbonate,CEEMDAN,6.0000,0.0029,345.0000,0.0065,0.6613,0.0281
lithium_carbonate,CEEMDAN,7.0000,0.0014,690.0000,0.4080,0.9087,0.0095
